Kích thước màn hình,Độ phân giải,Tần số quét,Độ phủ màu,Công nghệ màn hình,data_id,Tấm nền,Màn hình cảm ứng
"15.6""",Full HD (1920 x 1080),144Hz,,"['Chống chói Anti Glare', 'Adaptive-Sync', '250 nits']",284343,IPS,
"14""",2.8K (2880 x 1800) - OLED,120Hz,100% DCI-P3,"['Low Blue Light', '400 nits']",332274,OLED,
"16""",QHD+ (2560 x 1600) 16:10,240Hz,,,335015,IPS,
"18""",4K/UHD+ (3840 x 2400),120Hz,,"['Độ sáng SDR: 600 nits', 'TFT', 'LED Backlit', 'Acer ComfyView', 'Mini LED', 'HDR 1000']",335963,,
"18""",2.5K,250 Hz,,"['Độ sáng SDR: 600 nits', 'TFT', 'LED Backlit', 'Acer ComfyView', 'Mini LED', 'HDR 1000']",335964,,
"14""",2.8K (2880 x 1800),120Hz,100% DCI-P3,500 nits (Khi bật HDR),341268,OLED,Cảm ứng
"16""",4K/UHD+ (3840 x 2400),60Hz,100% DCI-P3,400 nits,341572,OLED,
"16""",QHD+ (2560 x 1600) OLED,240Hz,100% DCI-P3,OLED,341573,OLED,
"14""",2.8K (2880 x 1800),120Hz,100% DCI-P3,"['Eyesafe', 'DisplayHDR True Black 1000', '500 nits', 'Dolby Vision', 'X-Rite', 'PureSight Pro', '1100 nits (peak)']",342504,OLED,
"14""",WUXGA (1920 x 1200),60Hz,100% sRGB,"['500 nits', 'Chống chói Anti Glare']",342508,IPS,Cảm ứng
"15.1""",WQXGA (2560 x 1600),165 Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 600', '500 nits', 'Dolby Vision']",342517,OLED,
"15.1""",WQXGA (2560 x 1600),165 Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 600', '500 nits', 'Dolby Vision']",342523,OLED,
"16""",WUXGA (1920 x 1200),165 Hz,100% sRGB,"['Chống chói Anti Glare', '400 nits']",342721,IPS,
"15.6""",Full HD (1920 x 1080),Hãng không công bố,62.5% sRGB,"['Chống chói Anti Glare', '250 nits']",342725,IPS,
